timestamp,count,uniques,metric,value,rank,repo
2023-03-06 00:00:00+00:00,37,17,clones,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,145,34,clones,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,112,31,clones,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,94,31,clones,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,110,30,clones,,,dbt-snowplow-normalize
2023-03-11 00:00:00+00:00,90,29,clones,,,dbt-snowplow-normalize
2023-03-12 00:00:00+00:00,88,28,clones,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,97,30,clones,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,116,35,clones,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,109,33,clones,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,103,31,clones,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,93,28,clones,,,dbt-snowplow-normalize
2023-03-18 00:00:00+00:00,89,30,clones,,,dbt-snowplow-normalize
2023-03-19 00:00:00+00:00,89,30,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,45,18,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,287,105,popular/paths,/snowplow/dbt-snowplow-web,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,98,39,popular/paths,/snowplow/dbt-snowplow-web/tree/main/models,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,53,6,popular/paths,/snowplow/dbt-snowplow-web/pulls,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,45,20,popular/paths,/snowplow/dbt-snowplow-web/tree/main/models/page_views,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,40,18,popular/paths,/snowplow/dbt-snowplow-web/tree/main/models/base,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,35,17,popular/paths,/snowplow/dbt-snowplow-web/tree/0.13.2,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,34,17,popular/paths,/snowplow/dbt-snowplow-web/blob/main/models/page_views/snowplow_web_page_views.sql,7,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,31,4,popular/paths,/snowplow/dbt-snowplow-web/pull/177,8,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,29,20,popular/paths,/snowplow/dbt-snowplow-web/blob/main/dbt_project.yml,9,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,29,13,popular/paths,/snowplow/dbt-snowplow-web/tree/main/models/base/scratch,10,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,350,35,popular/referrers,hub.getdbt.com,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,285,50,popular/referrers,Google,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,172,20,popular/referrers,github.com,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,58,5,popular/referrers,cnissues.atlassian.net,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,39,1,popular/referrers,snowplow.io,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,8,1,popular/referrers,search.brave.com,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,6,4,popular/referrers,docs.snowplow.io,7,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,5,1,popular/referrers,discourse.snowplow.io,8,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,1,1,popular/referrers,t.co,9,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,1,1,popular/referrers,dumky.net,10,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,62,14,views,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,401,27,views,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,239,27,views,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,171,22,views,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,291,23,views,,,dbt-snowplow-normalize
